id,name,character,role
tm84618,Robert De Niro,Travis Bickle,ACTOR
tm84618,Jodie Foster,Iris Steensma,ACTOR
tm84618,Albert Brooks,Tom,ACTOR
tm84618,Harvey Keitel,Matthew 'Sport' Higgins,ACTOR
tm84618,Cybill Shepherd,Betsy,ACTOR
tm84618,Peter Boyle,Wizard,ACTOR
tm84618,Leonard Harris,Senator Charles Palantine,ACTOR
tm84618,Diahnne Abbott,Concession Girl,ACTOR
tm84618,Gino Ardito,Policeman at Rally,ACTOR
tm84618,Martin Scorsese,Passenger Watching Silhouette,ACTOR
tm84618,Murray Moston,Iris' Time Keeper,ACTOR
tm84618,Richard Higgs,Secret Service Agent,ACTOR
tm84618,Bill Minkin,Tom's Assistant (uncredited),ACTOR
tm84618,Bob Maroff,Mafioso (uncredited),ACTOR
tm84618,Victor Argo,"Melio, Delicatessen Owner",ACTOR
tm84618,Joe Spinell,Personell Officer,ACTOR
tm84618,Robinson Frank Adu,Angry Black Man (uncredited),ACTOR
tm84618,Brenda Dickson,Soap Opera Woman (uncredited),ACTOR
tm84618,Norman Matlock,Charlie T,ACTOR
tm84618,Harry Northup,Doughboy,ACTOR
tm84618,Harlan Cary Poe,Campaign Worker (uncredited),ACTOR
tm84618,Steven Prince,Andy - Gun Salesman,ACTOR
tm84618,Peter Savage,The John,ACTOR
tm84618,Nicholas Shields,Palantine's Aide (uncredited),ACTOR
tm84618,Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR
tm84618,Annie Gagen,Campaign Worker (uncredited),ACTOR
tm84618,Carson Grant,Political rallier (uncredited),ACTOR
tm84618,Mary-Pat Green,Campaign Aide (uncredited),ACTOR
tm84618,Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR
tm84618,Don Stroud,Policeman (uncredited),ACTOR
tm84618,Copper Cunningham,Hooker in Cab,ACTOR
tm84618,Garth Avery,Iris' friend,ACTOR
tm84618,Nat Grant,Stick-aup Man,ACTOR
tm84618,Billie Perkins,Iris' Friend (uncredited),ACTOR
tm84618,Catherine Scorsese,Iris' Mother (newspaper article) (uncredited),ACTOR
tm84618,Charles Scorsese,Iris' Father (newspaper article) (uncredited),ACTOR
tm84618,Martin Scorsese,Unknown,DIRECTOR
tm154986,Jon Voight,Ed Gentry,ACTOR
tm154986,Burt Reynolds,Lewis Medlock,ACTOR
tm154986,Ned Beatty,Bobby Trippe,ACTOR
tm154986,Ronny Cox,Drew Ballinger,ACTOR
tm154986,Ed Ramey,Old Man at the Gas-Station,ACTOR
tm154986,Billy Redden,Lonnie - The Banjo Boy,ACTOR
tm154986,Seamon Glass,First Griner,ACTOR
tm154986,Randall Deal,Second Griner,ACTOR
tm154986,Bill McKinney,Mountain Man,ACTOR
tm154986,Herbert 'Cowboy' Coward,Toothless Man,ACTOR
tm154986,Lewis Crone,First Deputy,ACTOR
tm154986,Ken Keener,Second Deputy,ACTOR
tm154986,Johnny Popwell,Ambulance Driver,ACTOR
tm154986,John Fowler,Doctor,ACTOR
tm154986,Kathy Rickman,Nurse,ACTOR
tm154986,Louise Coldren,Mrs. Biddiford,ACTOR
tm154986,Pete Ware,Taxi Driver,ACTOR
tm154986,James Dickey,Sheriff Bullard,ACTOR
tm154986,Macon McCalman,Deputy Queen,ACTOR
tm154986,Hoyt Pollard,Boy at Gas Station,ACTOR
tm154986,Belinda Beatty,Martha Gentry,ACTOR
tm154986,Charley Boorman,Ed's Boy,ACTOR
tm154986,John Boorman,Unknown,DIRECTOR
tm127384,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR
tm127384,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR
tm127384,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR
tm127384,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR
tm127384,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR
tm127384,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR
tm127384,Connie Booth,The Witch,ACTOR
tm127384,Carol Cleveland,Zoot / Dingo,ACTOR
tm127384,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR
tm127384,Bee Duffell,Old Crone,ACTOR
tm127384,John Young,Dead Body / Historian Frank,ACTOR
tm127384,Rita Davies,Historian's Wife,ACTOR
tm127384,Avril Stewart,Dr. Piglet,ACTOR
tm127384,Sally Kinghorn,Dr. Winston,ACTOR
tm127384,Mark Zycon,Prisoner,ACTOR
tm127384,Elspeth Cameron,Girl in Castle Anthrax,ACTOR
tm127384,Mitsuko Forstater,Girl in Castle Anthrax,ACTOR
tm127384,Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR
tm127384,Sandy Rose,Girl in Castle Anthrax,ACTOR
tm127384,Romilly Squire,Musician at Wedding / Villager at Witch Burning,ACTOR
tm127384,Joni Flynn,Girl in Castle Anthrax,ACTOR
tm127384,Alison Walker,Girl in Castle Anthrax,ACTOR
tm127384,Loraine Ward,Girl in Castle Anthrax,ACTOR
tm127384,Anna Lanski,Girl in Castle Anthrax,ACTOR
tm127384,Sally Coombe,Girl in Castle Anthrax,ACTOR
tm127384,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR
tm127384,Yvonne Dick,Girl in Castle Anthrax,ACTOR
tm127384,Daphne Darling,Girl in Castle Anthrax,ACTOR
tm127384,Fiona Gordon,Girl in Castle Anthrax,ACTOR
tm127384,Judy Lamb,Girl in Castle Anthrax,ACTOR
tm127384,Tracy Sneddon,Girl in Castle Anthrax,ACTOR
tm127384,Joyce Pollner,Girl in Castle Anthrax,ACTOR
tm127384,Mary Allen,Girl in Castle Anthrax,ACTOR
tm127384,Gloria Graham,Girl in Castle Anthrax,ACTOR
tm127384,Sylvia Taylor,Girl in Castle Anthrax,ACTOR
tm127384,Julian Doyle,Police Sergeant (uncredited),ACTOR
tm127384,Margarita Doyle,Peasant (uncredited),ACTOR
tm127384,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR
tm127384,Scott Mike,Bash (Mudfighter (uncredited),ACTOR
tm127384,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
tm127384,Terry Jones,Themselves (uncredited),ACTOR
tm127384,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR
tm127384,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR
tm127384,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR
tm127384,John Thornton,Dancing Knight (uncredited),ACTOR
tm127384,Maggie Weston,Page-turner (uncredited),ACTOR
tm127384,Terry Jones,Unknown,DIRECTOR
tm127384,Terry Gilliam,Unknown,DIRECTOR
tm120801,Lee Marvin,Maj. John Reisman,ACTOR
tm120801,Ernest Borgnine,Maj. Gen. Worden,ACTOR
tm120801,Charles Bronson,Joseph Wladislaw,ACTOR
tm120801,Jim Brown,Robert Jefferson,ACTOR
tm120801,John Cassavetes,Victor Franko,ACTOR
tm120801,Richard Jaeckel,Sergeant Bowren,ACTOR
tm120801,George Kennedy,Major Max Armbruster,ACTOR
tm120801,Trini López,Pedro Jiminez,ACTOR
tm120801,Ralph Meeker,Captain Stuart Kinder,ACTOR
tm120801,Robert Ryan,Col. Everett Dasher Breed,ACTOR
tm120801,Telly Savalas,Archer Maggott,ACTOR
tm120801,Donald Sutherland,Vernon Pinkley,ACTOR
tm120801,Clint Walker,Samson Posey,ACTOR
tm120801,Robert Webber,General Denton,ACTOR
tm120801,Tom Busby,Milo Vladek,ACTOR
tm120801,Ben Carruthers,Glenn Gilpin,ACTOR
tm120801,Stuart Cooper,Roscoe Lever,ACTOR
tm120801,Robert Phillips,Cpl. Morgan - MP Guard,ACTOR
tm120801,Colin Maitland,Seth Sawyer,ACTOR
