id,title,type,release_year,age_certification,runtime,genre,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,'documentation',['US'],6.510860655737705,23439.382473841557,0.6,6.510860655737705,169
tm84618,Taxi Driver,MOVIE,1976,R,114,'drama',['US'],8.2,808582.0,40.965,8.2,16
tm84618,Taxi Driver,MOVIE,1976,R,114,'crime',['US'],8.2,808582.0,40.965,8.2,16
tm154986,Deliverance,MOVIE,1972,R,109,'drama',['US'],7.7,107673.0,10.01,7.7,73
tm154986,Deliverance,MOVIE,1972,R,109,'action',['US'],7.7,107673.0,10.01,7.7,73
tm154986,Deliverance,MOVIE,1972,R,109,'thriller',['US'],7.7,107673.0,10.01,7.7,73
tm154986,Deliverance,MOVIE,1972,R,109,'european',['US'],7.7,107673.0,10.01,7.7,73
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,'fantasy',['GB'],8.2,534486.0,15.461,8.2,23
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,'action',['GB'],8.2,534486.0,15.461,8.2,23
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,'comedy',['GB'],8.2,534486.0,15.461,8.2,23
tm120801,The Dirty Dozen,MOVIE,1967,Unrated,150,'war',"['GB', 'US']",7.7,72662.0,20.398,7.7,300
tm120801,The Dirty Dozen,MOVIE,1967,Unrated,150,'action',"['GB', 'US']",7.7,72662.0,20.398,7.7,300
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,'comedy',['GB'],8.8,73424.0,17.617,8.8,76
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,'european',['GB'],8.8,73424.0,17.617,8.8,76
tm70993,Life of Brian,MOVIE,1979,R,94,'comedy',['GB'],8.0,395024.0,17.77,8.0,264
tm14873,Dirty Harry,MOVIE,1971,R,102,'thriller',['US'],7.7,155051.0,12.817,7.7,163
tm14873,Dirty Harry,MOVIE,1971,R,102,'action',['US'],7.7,155051.0,12.817,7.7,163
tm14873,Dirty Harry,MOVIE,1971,R,102,'crime',['US'],7.7,155051.0,12.817,7.7,163
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,'crime',['US'],7.7,112048.0,15.687,7.7,96
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,'drama',['US'],7.7,112048.0,15.687,7.7,96
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,'action',['US'],7.7,112048.0,15.687,7.7,96
tm98978,The Blue Lagoon,MOVIE,1980,R,104,'romance',['US'],5.8,69844.0,50.324,5.8,76
tm98978,The Blue Lagoon,MOVIE,1980,R,104,'action',['US'],5.8,69844.0,50.324,5.8,76
tm98978,The Blue Lagoon,MOVIE,1980,R,104,'drama',['US'],5.8,69844.0,50.324,5.8,76
tm44204,The Guns of Navarone,MOVIE,1961,Unrated,158,'action',"['GB', 'US']",7.5,50748.0,13.844,7.5,214
tm44204,The Guns of Navarone,MOVIE,1961,Unrated,158,'drama',"['GB', 'US']",7.5,50748.0,13.844,7.5,214
tm44204,The Guns of Navarone,MOVIE,1961,Unrated,158,'war',"['GB', 'US']",7.5,50748.0,13.844,7.5,214
tm67378,The Professionals,MOVIE,1966,PG-13,117,'western',['US'],7.3,16446.0,13.123,7.3,48
tm67378,The Professionals,MOVIE,1966,PG-13,117,'action',['US'],7.3,16446.0,13.123,7.3,48
tm67378,The Professionals,MOVIE,1966,PG-13,117,'european',['US'],7.3,16446.0,13.123,7.3,48
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,'comedy',['US'],8.1,5141.0,4.718,8.1,288
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,'documentation',['US'],8.1,5141.0,4.718,8.1,288
tm16479,White Christmas,MOVIE,1954,Unrated,115,'romance',['US'],7.5,42488.0,8.915,7.5,219
tm16479,White Christmas,MOVIE,1954,Unrated,115,'comedy',['US'],7.5,42488.0,8.915,7.5,219
tm135083,Cairo Station,MOVIE,1958,Unrated,77,'drama',['EG'],7.5,4471.0,5.546,7.5,125
tm135083,Cairo Station,MOVIE,1958,Unrated,77,'crime',['EG'],7.5,4471.0,5.546,7.5,125
tm135083,Cairo Station,MOVIE,1958,Unrated,77,'comedy',['EG'],7.5,4471.0,5.546,7.5,125
tm89386,Hitler: A Career,MOVIE,1977,PG,150,'history',['DE'],7.5,2460.0,4.305,7.5,117
tm89386,Hitler: A Career,MOVIE,1977,PG,150,'documentation',['DE'],7.5,2460.0,4.305,7.5,117
tm89386,Hitler: A Career,MOVIE,1977,PG,150,'european',['DE'],7.5,2460.0,4.305,7.5,117
tm156453,FTA,MOVIE,1972,R,97,'war',['US'],6.2,418.0,1.268,6.2,294
tm156453,FTA,MOVIE,1972,R,97,'documentation',['US'],6.2,418.0,1.268,6.2,294
tm156453,FTA,MOVIE,1972,R,97,'music',['US'],6.2,418.0,1.268,6.2,294
tm156453,FTA,MOVIE,1972,R,97,'comedy',['US'],6.2,418.0,1.268,6.2,294
tm14350,Alexandria… Why?,MOVIE,1979,Unrated,133,'drama',['EG'],7.2,1727.0,1.37,7.2,168
tm81728,The Land,MOVIE,1969,Unrated,129,'drama',['EG'],8.1,1958.0,1.265,8.1,196
tm94651,Dostana,MOVIE,1980,Unrated,161,'drama',['IN'],2.1,25.0,3.98,2.1,103
tm94651,Dostana,MOVIE,1980,Unrated,161,'comedy',['IN'],2.1,25.0,3.98,2.1,103
tm94651,Dostana,MOVIE,1980,Unrated,161,'crime',['IN'],2.1,25.0,3.98,2.1,103
tm94651,Dostana,MOVIE,1980,Unrated,161,'romance',['IN'],2.1,25.0,3.98,2.1,103
